,sentence id,sentence,class-label,label,explanation
0,1,"Ni kipaji gani! Hiki kipikiosafi kinafanya kazi poa sana, lakini inachukua muda mrefu kuwasha.",mixed,mixed,"It expresses positive sentiment towards the cleaner's performance, but also negatively comments on the time it takes to wash something"
1,2,"Ninapenda ubora wa picha, ila simu hii inajifunga ghafla, sijui tatizo ni nini.",mixed,negative,The user expresses satisfaction with the picture quality but expresses frustration with a sudden phone shutdown and uncertainty about the cause
2,3,"Kweli, kozi hii ya mtandaoni inavutia, lakini ada zake ni kali mno, sijui kama inastahili.",negative,mixed,"It expresses some positive sentiments about the online course being interesting, but also expresses negative sentiments about the high rates and affordability"
3,4,"Nashukuru huduma ya haraka, lakini chakula kimefika kikiwa baridi, si tamu kamwe.",negative,negative,"The user expresses dissatisfaction with the food being served, stating that it came cold and was not sweet. However, the user still acknowledges the prompt service"
4,5,"Haya magari mapya ni mazuri, ila bei yake 'inaniwasha kichwa' vibaya sana.",mixed,mixed,"It expresses a positive sentiment towards the new cars, but a negative sentiment towards their price"
5,6,"Nilifikiri itakuwa mbovu, kumbe app hii ya mazoezi inanifanya nihisi nipo gym halisi, nimeipenda!",positive,positive,"It expresses satisfaction with the exercise app, which is surprising given the initial expectation of it being bad. The user thanks the app, indicating a positive experience"
6,7,"Muundo wa tovuti hii ni maridadi, lakini ina mizigo ya matangazo kila ukurasa, inakera sana.",negative,negative,"The user expresses appreciation for the website's structure but also raises concerns about the presence of advertisements and potential dangers, indicating a overall negative sentiment"
7,8,"Nilinunua kifaa cha kusafisha hewa, kimepunguza vumbi, ila kelele zake ni ngumu kuvumilia.",mixed,mixed,"It mentions that the air purifier has reduced dust, which is a positive aspect. However, it also notes that the noise is hard to resist, which is a negative aspect. Therefore, the overall tone of the sentence is mixed"
8,9,"Kiukweli, huu mchezo mpya una burudani, lakini huwezi kusonga mbele bila kununua vipengele vya ziada, inaboa!",negative,negative,"The use of the word ""crazy"" to describe the game's requirement for additional features to move indicates a negative sentiment"
9,10,"Unajua, nilidhani hakutakuwa na tofauti, lakini ukweli ni kwamba mtandao huu wa kasi umeokoa muda wangu sana.",positive,positive,It expresses satisfaction with the fast internet that has saved time
10,11,"Abin mamaki ne yadda wannan wayar ke snap din hotuna nagari, amma batirinta na karewa da wuri sosai.",mixed,negative,"It expresses dissatisfaction with the phone's battery being hot, despite praising the good picture camera"
11,12,"Wannan sabuwar manhajar kudi tana taimaka min adana kudi, saidai tana caji da yawa fiye da tsammani!",negative,positive,"It expresses satisfaction with the result of the action taken, using positive language such as ""kudi tana taimaka"" (the action was successful) and ""caji da yawa"" (a good result)"
12,13,"Na so yadda gidajen abincin nan ke da zaɓi da yawa, amma sabis ɗin isarwa yana ɗaukar lokaci fiye da kima.",mixed,negative,The user expresses a desire for more choices in restaurants but criticizes the delivery service for taking longer
13,14,"Wallahi, tafiya da wannan mota abu ne mai daɗi, amma gearbox dinta na haifar da ƙara mai ban haushi.",mixed,mixed,"It acknowledges the enjoyment of traveling with the car, but also expresses a concern about the gearbox causing embarrassment"
14,15,"Ko da yake ban da tabbacin inganci, sabuwar manhajar wasanninku tana da ban sha'awa sosai.",positive,positive,"It expresses a positive sentiment towards the new game, despite not having any proof of its accuracy"
15,16,"An ce tana gyara lafiyar jiki, amma na gwada wannan shayin kuma ban ga wani canji ba tukuna.",negative,positive,"It expresses gratitude for the ability to learn and understand the language, and encourages the listener to continue learning"
16,17,"Platform ɗin e-koyo yana da ƙayatarwa, sai dai babu isasshen bayani a wasu darussa, abin takaici ne.",mixed,negative,"It expresses dissatisfaction with the platform and its functionality, stating that it is not working properly and providing insufficient information"
17,18,"Gaskiya, gidan wasan kwaikwayon nan yana da kayan aiki na zamani, amma kujerun suna matuƙar konawa em- baya.",negative,negative,"The user expresses dissatisfaction with the high cost of renting seats at the movie house, despite acknowledging the modern furniture"
18,19,"Sabuwar wayar wuta da suka ƙera tana haskakawa sosai, amma filogi ba ya dace da soket ɗina.",mixed,negative,"The user expresses dissatisfaction with the keyboard's suitability for their needs, despite initial positive feedback about its brightness"
19,20,"To fa, sabuwar dokar biyan kuɗi a gidan yanar gizonku tana wahalar da ni, ban san inda zan fara ba.",negative,negative,"The speaker is expressing dissatisfaction with the new payroll policy on the website, stating that it is hard for them to understand and navigate"
20,21,"Ojú-éwè yìí lókèòkè dára, ṣùgbọ́n ipolongo rẹ pọ jù, ó leé kó mi lójú.",negative,mixed,"The first part of the sentence, ""This photo is very good,"" is positive. However, the second part, ""your popularity is very high, it's a bit surprising,"" is also positive but with a hint of surprise, which can be interpreted as a negative sentiment in this context"
21,22,"Mò ń gbádùn eré yìí títí, àmọ́ ó fẹ́ kí n ra ohun èlò pàtàkì kódà kó tónà síwájú.",negative,negative,"The user initially expresses enjoyment of the movie, but then mentions a negative aspect of having to buy special equipment and return it"
22,23,"Báwo ni ìmúdójúìwà yìí, fùn wíwúrújú fọto, ṣùgbọ́n ó n gbóná fọnfọn lèyin iṣẹju meje.",mixed,mixed,"It contains both positive and negative elements. The phrase ""As a result of this action"" is positive, but the phrase ""shoot a shoot"" and ""it's burning in the air for a few minutes"" are negative, as they imply harm or destruction"
23,24,"Irìn àjò pẹ̀lú ọkọ̀ yìí dára, àmọ́ mòtò n lò epo jù, kànbù.",mixed,negative,"The use of the word ""but"" indicates a contrast, and the mention of the car using more oil than expected is a negative aspect of the journey"
24,25,"A lè wí pé irọlẹ́ wèèré yìí yànláyànlá, ṣùgbọ́n iná n tàrì-tàrì lójú, ó n damú mi.",negative,negative,"It expresses dissatisfaction or distress with the situation, as indicated by the use of the word ""hurts"" and the negative connotation of the phrase ""it's dark."""
25,26,"Mo ro pé aṣọ yìí máa jóga, ṣùgbọ́n ó yà mí lẹ́nu pé kò pé mi rárá.",negative,positive,"The speaker initially expected a positive outcome (the dress being white), but upon realization that it wasn't, they express mild disappointment, which is balanced by no explicit expression of negativity. Therefore, the overall tone remains positive"
26,27,"Àsìkò kan, wíwùlu pẹ̀lú fónutelé yìí rọrùn, ṣùgbọ́n ó tètè gba data mi tán.",mixed,negative,"The user expresses dissatisfaction with the data saving process, despite finding the loading process easy"
27,28,"Ìpamọ́ wà nínú app yìí o, àmọ́ ipolongo gbóná ju, mo ń lérò pé mo ń ra gbòògì lásán.",mixed,negative,"The user expresses dissatisfaction with the search function in the app, indicating a negative experience"
28,29,"Bẹ́ẹ̀ ni, mo ṣèwádìí pẹpẹ yìí fún ìrànlọ́wọ́ ikẹkọ́, ṣùgbọ́n mi ò rí bí o ṣe rọrùn tó.",mixed,mixed,"It starts with a positive statement about studying the temple, but then expresses confusion or dissatisfaction about not understanding the difficulty of the study"
29,30,"Eré tuntun yìí gbádùn, àmọ́ ó fẹ́ kí n ju owo síwájú lódindi, ḿbàgbé o.",negative,mixed,"It expresses a positive sentiment towards the wine, but the subsequent statement about the price being too high introduces a negative element"
30,31,"Ngiyayithanda indlela le app yenziwa ngayo, kodwa ibiza imali engamangazayo ukuze uvule ezinye izici.",mixed,mixed,"It expresses a positive sentiment about the app's functionality, but the mention of monetary compensation for saving features introduces a potential drawback, making the overall tone mixed"
31,32,"Lo mkhiqizo ukhanya umuhle, kepha usebenzisa ugesi omningi ongachazeki nhlobo.",negative,mixed,"It starts with a positive sentiment about the key being beautiful, but the second part about using a lot of unanimity is negative, creating a mixed sentiment overall"
32,33,"Bengicabanga ukuthi lolu hlelo lokufunda luzoba mnandi, kodwa kukhona imikhawulo engathinti izindlela ezintsha.",negative,mixed,"It expresses some positive sentiments, such as appreciation for the help received (""uzoba mnandi"") and gratitude (""kukhona imikhawulo""). However, it also conveys some negative sentiments, such as frustration or dissatisfaction with the situation (""kodwa kukhona imikhawulo engathinti izindlela ezintsha""). Overall, the sentence is a mix of both"
33,34,"Hawu, lolu hlelo lwethikithi lwebhasi selungilondolozele isikhathi, kodwa uhlu lwezikhathi alucacile nakancane.",mixed,mixed,"It expresses a sense of frustration with the situation, but also acknowledges the resilience of the person facing it"
34,35,"Angikholwa ukuthi le nkampani yama-smartwatch isebenzisa isiNgisi esiningi, kodwa ijubane layo liyamangaza.",mixed,positive,"The user expresses satisfaction with the smartwatch company's use of English, while also acknowledging that it may not be perfect. The user also praises the smartwatch's speed as amazing"
